Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_advisor to-do/div_Logout""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:19,2019-12-16 15:14:19,0.607s,PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-16 15:14:19,2019-12-16 15:14:19,0.109s,PASSED
Video,Chrome 79.0.3945.79,,,2019-12-16 15:14:21,2019-12-16 15:14:21,0.001s,PASSED
,,,,,,,
Test Cases/Project,Chrome 79.0.3945.79,,,2019-12-16 15:14:21,2019-12-16 15:16:09,1m - 47.034s,PASSED
"openBrowser("""")",Chrome 79.0.3945.79,,,2019-12-16 15:14:22,2019-12-16 15:14:34,11.767s,PASSED
"navigateToUrl(""https://app.gntkwhqzn-test.advisortodo.com/#/auth/signin"")",Chrome 79.0.3945.79,,,2019-12-16 15:14:34,2019-12-16 15:14:38,3.998s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Sign In_form-control""), ""admin@advisortodo.com"")",Chrome 79.0.3945.79,,,2019-12-16 15:14:38,2019-12-16 15:14:39,0.920s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Sign In_form-control_1""), ""7Dxoto1EjKeORhrTDROfog=="")",Chrome 79.0.3945.79,,,2019-12-16 15:14:39,2019-12-16 15:14:39,0.675s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/button_Sign In""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:39,2019-12-16 15:14:40,0.525s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/a_Projects""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:40,2019-12-16 15:14:50,9.692s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/button_Archived Projects_addProject""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:50,2019-12-16 15:14:53,3.200s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Archived Projects_ml-2 m-0 form-contr_5e655b""), ""New project test"")",Chrome 79.0.3945.79,,,2019-12-16 15:14:53,2019-12-16 15:14:55,1.708s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Contact""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:55,2019-12-16 15:14:55,0.669s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Kumar""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:55,2019-12-16 15:14:56,0.543s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Kumar_projectDurationStartInput""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:56,2019-12-16 15:14:57,1.296s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_16""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:57,2019-12-16 15:14:58,0.552s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Kumar_projectDurationEndInput""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:58,2019-12-16 15:14:59,1.061s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_31""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:59,2019-12-16 15:14:59,0.623s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Project Owner""))",Chrome 79.0.3945.79,,,2019-12-16 15:14:59,2019-12-16 15:15:00,0.577s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Nishit Sheth""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:00,2019-12-16 15:15:01,0.677s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/textarea_test project_1""), ""test project
"")",Chrome 79.0.3945.79,,,2019-12-16 15:15:01,2019-12-16 15:15:49,48.146s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_New project testKKumar NSNishit Shethte_dbe608""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:49,2019-12-16 15:15:49,0.657s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/p_0""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:49,2019-12-16 15:15:50,0.999s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/button_test project_addTask""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:50,2019-12-16 15:15:53,2.509s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_test project_combobox1""), ""New test project task"")",Chrome 79.0.3945.79,,,2019-12-16 15:15:53,2019-12-16 15:15:54,1.265s,PASSED
"sendKeys(findTestObject(""Object Repository/Project/Page_advisor to-do/input_test project_combobox1""), Keys.chord(ENTER))",Chrome 79.0.3945.79,,,2019-12-16 15:15:54,2019-12-16 15:15:55,0.529s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/p_New test project task""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:55,2019-12-16 15:15:56,1.434s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_High""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:56,2019-12-16 15:15:57,0.508s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Medium""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:57,2019-12-16 15:15:57,0.589s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Medium_taskDueDate""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:57,2019-12-16 15:15:58,1.264s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_17""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:58,2019-12-16 15:15:59,0.586s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_00""))",Chrome 79.0.3945.79,,,2019-12-16 15:15:59,2019-12-16 15:16:00,0.595s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_02""))",Chrome 79.0.3945.79,,,2019-12-16 15:16:00,2019-12-16 15:16:00,0.594s,PASSED
