Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_advisor to-do/input_New category_react-tagsinput-input""), ""new"")",Chrome 79.0.3945.79,,,2019-12-16 11:26:19,2019-12-16 11:26:40,20.853s,FAILED
"sendKeys(findTestObject(""Object Repository/Page_advisor to-do/input_New category_react-tagsinput-input""), Keys.chord(ENTER))",Chrome 79.0.3945.79,,,2019-12-16 11:26:40,2019-12-16 11:26:40,0.510s,FAILED
"click(findTestObject(""Object Repository/Page_advisor to-do/i_See More_fa fa-clone""))",Chrome 79.0.3945.79,,,2019-12-16 11:26:40,2019-12-16 11:26:41,0.618s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/i_Createda few seconds ago_fa fa-trash""))",Chrome 79.0.3945.79,,,2019-12-16 11:26:41,2019-12-16 11:26:42,1.377s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/a_UW""))",Chrome 79.0.3945.79,,,2019-12-16 11:26:42,2019-12-16 11:26:45,2.548s,PASSED
"click(findTestObject(""Object Repository/Page_advisor to-do/div_Logout""))",Chrome 79.0.3945.79,,,2019-12-16 11:26:45,2019-12-16 11:26:45,0.583s,PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-16 11:26:45,2019-12-16 11:26:45,0.108s,PASSED
Video,Chrome 79.0.3945.79,,,2019-12-16 11:26:48,2019-12-16 11:26:48,0.001s,PASSED
,,,,,,,
Test Cases/Project,Chrome 79.0.3945.79,,,2019-12-16 11:26:48,2019-12-16 11:29:45,2m - 57.727s,PASSED
"openBrowser("""")",Chrome 79.0.3945.79,,,2019-12-16 11:26:48,2019-12-16 11:26:59,10.969s,PASSED
"navigateToUrl(""https://app.gntkwhqzn-test.advisortodo.com/#/auth/signin"")",Chrome 79.0.3945.79,,,2019-12-16 11:26:59,2019-12-16 11:27:03,4.404s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Sign In_form-control""), ""admin@advisortodo.com"")",Chrome 79.0.3945.79,,,2019-12-16 11:27:03,2019-12-16 11:27:06,2.572s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Sign In_form-control_1""), ""7Dxoto1EjKeORhrTDROfog=="")",Chrome 79.0.3945.79,,,2019-12-16 11:27:06,2019-12-16 11:27:08,1.823s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/button_Sign In""))",Chrome 79.0.3945.79,,,2019-12-16 11:27:08,2019-12-16 11:27:14,6.923s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/a_Projects""))",Chrome 79.0.3945.79,,,2019-12-16 11:27:14,2019-12-16 11:27:31,16.978s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/button_Archived Projects_addProject""))",Chrome 79.0.3945.79,,,2019-12-16 11:27:31,2019-12-16 11:27:40,8.182s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Archived Projects_ml-2 m-0 form-contr_5e655b""), ""New project test"")",Chrome 79.0.3945.79,,,2019-12-16 11:27:40,2019-12-16 11:27:42,2.395s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Contact""))",Chrome 79.0.3945.79,,,2019-12-16 11:27:42,2019-12-16 11:27:48,6.480s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Kumar""))",Chrome 79.0.3945.79,,,2019-12-16 11:27:48,2019-12-16 11:27:55,6.928s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Kumar_projectDurationStartInput""))",Chrome 79.0.3945.79,,,2019-12-16 11:27:55,2019-12-16 11:28:03,7.116s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_16""))",Chrome 79.0.3945.79,,,2019-12-16 11:28:03,2019-12-16 11:28:10,6.988s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Kumar_projectDurationEndInput""))",Chrome 79.0.3945.79,,,2019-12-16 11:28:10,2019-12-16 11:28:16,6.955s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_31""))",Chrome 79.0.3945.79,,,2019-12-16 11:28:16,2019-12-16 11:28:23,6.963s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Project Owner""))",Chrome 79.0.3945.79,,,2019-12-16 11:28:23,2019-12-16 11:28:30,7.008s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Nishit Sheth""))",Chrome 79.0.3945.79,,,2019-12-16 11:28:30,2019-12-16 11:28:37,7.026s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/textarea_test project_1""), ""test project
"")",Chrome 79.0.3945.79,,,2019-12-16 11:28:37,2019-12-16 11:29:25,47.793s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_New project testKKumar NSNishit Shethte_dbe608""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:25,2019-12-16 11:29:26,0.574s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/p_0""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:26,2019-12-16 11:29:27,1.085s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/button_test project_addTask""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:27,2019-12-16 11:29:29,2.512s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_test project_combobox1""), ""New test project task"")",Chrome 79.0.3945.79,,,2019-12-16 11:29:29,2019-12-16 11:29:31,1.249s,PASSED
"sendKeys(findTestObject(""Object Repository/Project/Page_advisor to-do/input_test project_combobox1""), Keys.chord(ENTER))",Chrome 79.0.3945.79,,,2019-12-16 11:29:31,2019-12-16 11:29:31,0.534s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/p_New test project task""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:31,2019-12-16 11:29:33,1.431s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_High""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:33,2019-12-16 11:29:33,0.508s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Medium""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:33,2019-12-16 11:29:34,0.596s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Medium_taskDueDate""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:34,2019-12-16 11:29:35,1.171s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_17""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:35,2019-12-16 11:29:36,0.632s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_00""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:36,2019-12-16 11:29:36,0.636s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_02""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:36,2019-12-16 11:29:37,0.594s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_ option New focused 1 of 14 14 results _33863a""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:37,2019-12-16 11:29:37,0.614s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/div_Production""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:37,2019-12-16 11:29:38,0.644s,PASSED
"setText(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Production_react-tagsinput-input""), ""new"")",Chrome 79.0.3945.79,,,2019-12-16 11:29:38,2019-12-16 11:29:39,0.629s,PASSED
"sendKeys(findTestObject(""Object Repository/Project/Page_advisor to-do/input_Production_react-tagsinput-input""), Keys.chord(ENTER))",Chrome 79.0.3945.79,,,2019-12-16 11:29:39,2019-12-16 11:29:39,0.446s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/i_test project_fa fa-clone""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:39,2019-12-16 11:29:40,0.708s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/button_Createda few seconds ago_deleteTask""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:40,2019-12-16 11:29:41,1.239s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/img_No Notifications_sb-avatar__image""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:41,2019-12-16 11:29:42,1.418s,PASSED
"click(findTestObject(""Object Repository/Project/Page_advisor to-do/span_Logout""))",Chrome 79.0.3945.79,,,2019-12-16 11:29:42,2019-12-16 11:29:43,0.556s,PASSED
closeBrowser(),Chrome 79.0.3945.79,,,2019-12-16 11:29:43,2019-12-16 11:29:43,0.087s,PASSED
Video,Chrome 79.0.3945.79,,,2019-12-16 11:29:45,2019-12-16 11:29:45,0.001s,PASSED
